production_id,branch_id,branch_name,production_type,good_used,quantity_used (tons),carbon_emission (tons CO2),water_usage (liters),waste_generated (tons)
57,1002,Rollins LLC,Pharmaceuticals,Steel,3331.61,5885.78,10427274.91,998.12
58,1006,"Dunn, Phillips and Reed",Pharmaceuticals,Wheat,3197.36,4753.62,9056995.71,1410.24
59,1004,"Schultz, Espinoza and Garcia",Textile,Petroleum Products,1452.02,4007.09,10699000.03,607.81
60,1008,"Murphy, Kelly and Chan",Chemicals,Aluminum,1353.74,2833.18,3477793.59,648.58
61,1001,Garcia-Vasquez,Textile,Timber,3668.51,2535.65,31793102.48,461.97
62,1001,Howell-Rios,Food Processing,Timber,293.82,398.11,2031150.77,53.47
63,1010,Adkins Ltd,Pharmaceuticals,Aluminum,156.52,208.52,1347556.25,68.72
64,1010,Bailey-Jackson,Electronics,Glass,3870.09,8288.19,6217793.5,1532.09
65,1004,"Zimmerman, Maxwell and Norman",Food Processing,Aluminum,3616.76,7275.74,28979349.06,671.08
66,1007,Stewart-Patrick,Pharmaceuticals,Steel,4222.84,11338.75,17466878.25,1892.32
67,1007,"Shields, Campbell and Goodman",Textile,Cotton,1116.46,2518.59,10336623.63,299.65
68,1005,Smith PLC,Food Processing,Timber,2235.23,5237.18,18908633.4,847.3
69,1002,Rivera-Williams,Textile,Timber,3824.05,7326.27,28351622.3,1033.2
70,1002,Gardner Inc,Chemicals,Plastic,3216.36,9036.46,26892666.6,974.2
71,1008,"Flynn, Spencer and Davis",Pharmaceuticals,Cotton,2642.6,2528.85,19013595.61,700.15
72,1003,Holder Group,Furniture,Steel,2173.22,2935.5,19151172.8,990.29
73,1003,"Mendez, Clark and Willis",Automobile Parts,Plastic,3035.84,1582.21,28732996.62,386.05
74,1003,Strickland-Ford,Chemicals,Timber,2889.47,8097.89,5670513.31,992.24
75,1002,Rice-Mayo,Electronics,Plastic,1760.36,3316.06,16936442.82,653.89
76,1002,Johnson PLC,Furniture,Steel,4865.9,4473.42,44865769.6,2013.99
77,1008,"Kramer, Reeves and Durham",Chemicals,Plastic,1250.7,1858.73,4062970.44,540.13
78,1005,"Cunningham, Jacobs and Stout",Automobile Parts,Timber,3934.75,9278.95,18609967.6,1222.18
79,1002,"Ayers, Garrison and Taylor",Pharmaceuticals,Aluminum,1663.87,4129.96,12351129.4,271.37
80,1002,"Wood, Nunez and Morgan",Electronics,Plastic,194.41,484.36,1728289.49,75.55
81,1009,Bailey-Mccarty,Automobile Parts,Aluminum,210.72,220.41,1159709.15,67.45
82,1004,Dillon-Cummings,Pharmaceuticals,Glass,2750.68,6317.38,18324942.39,538.86
83,1009,Krueger-Clark,Chemicals,Petroleum Products,2518.67,6045.75,4669164.07,263.7
84,1006,"Rowland, David and Sherman",Chemicals,Steel,2801.92,7114.8,22346806.69,963.79
85,1005,"Mitchell, Ruiz and Merritt",Electronics,Plastic,1929.99,1416.92,12330720.35,201.58
86,1002,Martinez PLC,Furniture,Glass,2337.39,3795.68,14453522.0,1061.75
87,1008,"Osborne, James and Graham",Electronics,Cotton,1434.8,2332.49,2867124.29,496.1
88,1001,"Evans, Garcia and Hutchinson",Electronics,Timber,760.71,1012.44,3977385.52,170.83
89,1010,Ross-Schneider,Automobile Parts,Petroleum Products,4462.9,9540.53,25588977.23,2070.83
90,1005,"Burke, Lewis and Smith",Pharmaceuticals,Aluminum,2155.8,1617.87,5328349.79,742.96
91,1009,Mcdaniel Ltd,Furniture,Plastic,2647.54,7408.53,3538348.73,1100.04
92,1006,Baker-Martinez,Textile,Steel,113.3,119.0,998076.92,35.89
93,1010,"Lewis, Fields and Porter",Textile,Aluminum,1124.2,1909.48,8556578.96,405.1
94,1009,Kelley-Ramsey,Textile,Timber,4282.75,7856.26,42746328.23,1160.53
95,1004,"Wilson, Williams and Thornton",Chemicals,Plastic,1640.04,2924.62,14637866.02,483.26
96,1001,Bernard-Anderson,Electronics,Steel,561.42,797.64,3994727.67,264.67
97,1009,"Bailey, Taylor and Gonzalez",Automobile Parts,Steel,844.94,545.94,5010093.11,390.72
98,1003,"Schneider, Berg and Conrad",Automobile Parts,Aluminum,4546.29,4295.88,25221616.21,1840.7
99,1007,"Rojas, Simmons and Wilson",Textile,Petroleum Products,2703.38,1945.18,22592215.45,623.76
100,1001,"Barrett, Ryan and Thompson",Pharmaceuticals,Aluminum,2088.88,3477.32,13065082.16,904.46
101,1006,Collins Inc,Chemicals,Steel,702.77,897.45,6295200.03,282.53
102,1010,Cross PLC,Furniture,Aluminum,1440.78,3888.13,14017469.13,249.74
103,1003,"Meyer, Gonzalez and Martinez",Food Processing,Cotton,741.72,2115.84,2718477.78,307.45
104,1007,Gomez-Cruz,Pharmaceuticals,Wheat,971.27,772.77,8156608.61,202.42
105,1003,Medina-Shepherd,Pharmaceuticals,Aluminum,2088.68,1552.25,15305114.06,337.01
106,1009,Weaver-Reed,Pharmaceuticals,Steel,2143.19,5199.8,13858426.65,812.17
107,1002,Bradley-Garcia,Automobile Parts,Glass,2243.37,3865.01,10446098.13,497.86
108,1008,Cruz-Park,Chemicals,Steel,1062.66,2527.45,5651623.85,260.22
109,1006,"Howard, Clark and Vang",Chemicals,Steel,978.28,1037.52,2251377.35,227.19
110,1006,"Nelson, Allen and Clayton",Textile,Aluminum,3742.59,5040.6,30230429.02,1614.89
111,1005,Cooper-Marshall,Electronics,Timber,4637.31,4375.74,13639676.97,2078.99
112,1001,Huynh PLC,Pharmaceuticals,Wheat,766.4,638.47,1543326.51,83.03
113,1003,"Griffin, Johnson and Wallace",Pharmaceuticals,Glass,2598.02,2145.83,6516409.26,798.94
114,1009,"Humphrey, Porter and Bryant",Textile,Timber,2172.68,1182.96,16862738.61,718.11
115,1007,Arellano-Franklin,Electronics,Cotton,1243.63,2464.26,6351424.64,288.74
116,1003,Williams PLC,Textile,Wheat,4141.67,5160.01,6013789.67,1343.23
117,1006,Hebert PLC,Automobile Parts,Wheat,4554.44,9471.67,9924655.54,1509.3
118,1010,Mcgee Ltd,Food Processing,Aluminum,3051.65,7263.59,29558026.1,371.49
119,1010,Barnes-Moore,Textile,Wheat,3573.29,2286.19,4299260.46,637.17
120,1000,Anderson Ltd,Textile,Timber,2781.64,1922.32,7332485.89,1063.04
121,1003,"Bowman, Baird and Owens",Pharmaceuticals,Cotton,1060.36,1798.08,7475294.57,292.61
122,1006,"Davis, Nelson and Harris",Chemicals,Cotton,4592.71,3872.81,25684904.73,1038.25
123,1001,Williams-Gonzalez,Pharmaceuticals,Cotton,2985.8,7408.95,29423952.76,1326.63
124,1008,Hill Ltd,Automobile Parts,Steel,2737.73,3259.23,26999811.21,839.6
125,1000,"Mays, Love and Cooper",Pharmaceuticals,Glass,776.53,1957.71,2900915.58,286.72
126,1000,"Wood, Brown and Murphy",Furniture,Wheat,2083.35,4017.49,15402333.56,832.29
127,1000,"Park, Buck and Johnson",Furniture,Petroleum Products,2229.25,2085.85,16508643.43,722.8
128,1010,Miller-Perez,Furniture,Aluminum,4040.64,4290.98,17590218.79,790.82
129,1009,"Valdez, Ramos and Jones",Furniture,Glass,4575.97,3523.43,17598163.36,2171.98
130,1003,Walker-Lopez,Pharmaceuticals,Timber,57.69,172.87,332957.45,27.91
131,1009,Vincent-Mcneil,Electronics,Wheat,1511.24,3078.6,11370995.65,663.76
132,1008,"West, Hill and Rivera",Automobile Parts,Steel,83.03,125.37,746863.8,9.75
133,1002,Hughes-Johnston,Chemicals,Wheat,1874.6,1995.86,15390011.14,598.7
134,1009,"Hunt, Ramirez and Williams",Chemicals,Timber,1525.35,4377.5,10062417.85,498.62
135,1002,Mann Inc,Automobile Parts,Wheat,2797.18,2734.43,19158619.12,474.95
136,1005,Miller-Porter,Electronics,Petroleum Products,1122.92,3218.94,4252523.91,243.56
137,1002,"Woodward, Brown and Jones",Electronics,Wheat,2198.42,1753.01,19196622.39,840.21
138,1009,"Brown, Jimenez and Armstrong",Food Processing,Cotton,3425.22,7959.79,9277901.8,747.35
139,1004,Wilson LLC,Food Processing,Glass,3062.3,8071.76,23924486.33,1506.93
140,1005,Roberts PLC,Automobile Parts,Glass,2595.17,6901.97,18260110.21,554.92
141,1005,"Waters, Davis and Osborn",Electronics,Aluminum,4836.84,5737.44,24643901.62,1104.58
142,1002,Young PLC,Furniture,Plastic,1503.31,3481.5,5852078.89,509.05
143,1010,Palmer and Sons,Chemicals,Petroleum Products,2746.76,4755.9,12385172.91,1140.71
144,1002,"Taylor, Morris and Thomas",Textile,Aluminum,4087.0,6449.06,23445613.74,1578.45
145,1010,Carter Inc,Pharmaceuticals,Glass,2066.09,1897.29,7661986.1,470.04
146,1008,Robertson-Jenkins,Furniture,Timber,1426.24,1388.07,1463426.2,444.84
147,1001,"Campbell, Ross and Diaz",Electronics,Aluminum,3917.02,4808.1,34086178.18,1691.9
148,1008,"Keith, Jones and Armstrong",Food Processing,Glass,793.47,1967.16,5385493.73,351.54
149,1004,Hudson-Harper,Food Processing,Steel,1693.58,1513.29,4339399.24,787.66
150,1007,"Clark, Weaver and Tran",Textile,Wheat,3428.44,2299.36,17380994.99,1253.63
151,1010,King-Smith,Chemicals,Timber,1393.65,2187.64,13010420.87,360.46
152,1000,Jones-Parks,Electronics,Plastic,3781.88,5534.89,20001634.83,608.32
153,1010,"Mitchell, Olson and Nelson",Food Processing,Plastic,723.89,1389.58,4880400.63,228.75
154,1000,Lowe-Peterson,Textile,Petroleum Products,4705.73,10952.59,22531870.35,1728.46
155,1003,"Hamilton, Sanders and Perez",Furniture,Glass,2050.89,1702.47,10200020.8,295.71
156,1005,Keller-Brown,Furniture,Aluminum,400.65,693.66,2356420.01,52.8
157,1001,"Reese, Sloan and Peters",Food Processing,Petroleum Products,3968.7,6498.09,19982305.49,889.1
158,1010,Smith LLC,Chemicals,Glass,4260.38,5025.39,15664275.68,1033.65
159,1004,Butler and Sons,Textile,Petroleum Products,4132.15,2483.94,7417408.71,1042.08
160,1004,"Skinner, Archer and Blackburn",Chemicals,Timber,4070.55,3712.27,25178890.41,741.77
161,1002,Freeman Ltd,Textile,Cotton,4100.93,12103.47,11308586.68,1754.45
162,1001,"Nichols, Flores and Weiss",Electronics,Plastic,2535.25,6953.32,7462714.58,593.16
163,1005,Collins LLC,Electronics,Cotton,1237.41,2543.15,11519354.9,522.15
164,1005,"Martinez, Beard and Lopez",Textile,Plastic,3326.46,8824.98,3818897.7,648.83
165,1007,May Ltd,Food Processing,Wheat,1615.83,892.2,8792655.52,627.4
166,1010,"Hester, Burton and Brooks",Furniture,Wheat,4393.46,8110.09,4393536.58,464.87
167,1010,Brown Group,Textile,Plastic,1536.71,3409.65,7388494.83,460.3
168,1006,Gonzalez-Solis,Automobile Parts,Cotton,1570.06,2907.09,6914667.81,471.29
169,1003,Anderson-Walters,Food Processing,Petroleum Products,3933.63,9324.81,7444149.26,1629.78
170,1006,"Acevedo, Watkins and Watkins",Automobile Parts,Cotton,1956.28,3842.33,5080793.58,612.52
171,1006,Cooke LLC,Chemicals,Plastic,443.94,516.7,4257958.5,129.13
172,1009,Schultz PLC,Furniture,Timber,1309.8,3523.86,10196080.69,444.64
173,1007,Silva and Sons,Chemicals,Steel,3442.96,10324.99,5532834.44,682.34
174,1007,"Hoffman, Green and Castro",Textile,Petroleum Products,1242.07,2010.01,7477222.29,557.65
175,1003,Haley LLC,Automobile Parts,Plastic,3895.16,6996.23,33480824.11,1063.42
176,1010,Perez-Fernandez,Electronics,Timber,784.54,1648.86,921114.69,223.45
177,1006,"Roy, Norman and Haynes",Textile,Glass,2190.12,4155.8,10665708.71,498.97
178,1007,Nelson-Robinson,Pharmaceuticals,Steel,3505.69,2219.47,12506561.1,545.73
179,1006,Hernandez LLC,Pharmaceuticals,Timber,4983.89,6144.51,46073054.53,868.67
180,1003,"Pace, Solomon and Powell",Pharmaceuticals,Wheat,3674.39,4648.02,13311365.39,1539.99
181,1008,Browning LLC,Pharmaceuticals,Glass,2895.79,8472.06,10158800.81,416.56
182,1010,Hayes-Brown,Automobile Parts,Cotton,2882.6,7862.71,15846899.22,1082.53
183,1005,"Hall, Ashley and Harvey",Food Processing,Petroleum Products,2184.1,3399.1,17755267.38,1057.81
184,1010,"Peterson, Higgins and Guerrero",Food Processing,Glass,2073.21,1222.1,16331668.74,292.16
185,1005,Cuevas-Wood,Food Processing,Aluminum,4053.06,7592.36,18475692.25,456.79
186,1000,"Jacobs, Santiago and Cox",Food Processing,Glass,4665.09,5904.79,12172259.72,568.03
187,1010,Jordan and Sons,Automobile Parts,Cotton,3339.7,7288.42,29880255.63,590.56
188,1003,"Stuart, King and Griffin",Electronics,Glass,4299.49,5445.4,18051593.37,688.27
189,1007,"Curry, Tyler and Scott",Textile,Petroleum Products,3087.84,3735.82,7017593.24,1009.98
190,1010,Mcclure-Houston,Food Processing,Timber,2331.9,5612.87,17988063.69,1064.21
191,1000,Morales-Cunningham,Automobile Parts,Cotton,3994.38,3306.8,26330490.7,486.09
192,1005,"Lee, Miller and Mann",Textile,Cotton,3459.81,9852.75,24337461.11,1547.69
193,1002,Allen PLC,Chemicals,Cotton,1453.43,2970.19,12780109.66,355.51
194,1000,Flores-Murphy,Automobile Parts,Plastic,4655.73,3344.64,21325943.52,2130.44
195,1010,"Silva, Schmitt and Smith",Textile,Plastic,4346.87,12209.95,22750664.32,1070.58
196,1005,"Davis, Schmitt and Schaefer",Food Processing,Glass,440.49,729.83,1347949.75,98.22
197,1009,Martin-Walker,Pharmaceuticals,Aluminum,3660.91,3396.23,8780030.79,1350.32
198,1005,"Taylor, Davis and Jackson",Pharmaceuticals,Steel,4935.49,10110.31,49015376.1,2341.23
199,1004,Turner and Sons,Textile,Aluminum,3689.83,3930.55,28867873.67,599.08
200,1003,"Miller, Blackwell and Snyder",Electronics,Cotton,1783.18,2518.93,13857427.72,708.55
201,1001,Rodriguez-Patrick,Automobile Parts,Timber,3763.79,6279.47,22605539.92,1021.05
202,1008,Johnson Inc,Pharmaceuticals,Petroleum Products,704.76,1364.65,5836274.73,268.8
203,1000,"Patterson, Williamson and Cross",Food Processing,Timber,4993.66,8762.0,38666814.87,2297.25
204,1009,"Castillo, Taylor and Ryan",Electronics,Aluminum,2295.48,2329.24,22773394.41,986.04
205,1001,Miller Group,Textile,Timber,698.2,409.18,6867376.47,209.1
206,1006,"Allen, Poole and Weeks",Electronics,Petroleum Products,4632.2,4436.61,36689324.24,1514.87
207,1005,"Mcmillan, Barrett and Robbins",Textile,Cotton,945.65,680.97,1000680.63,185.87
208,1001,"Richardson, Lopez and Parker",Chemicals,Steel,1598.96,1378.56,9977031.24,736.61
209,1001,Davis-Perez,Furniture,Steel,3837.14,9594.68,4814492.46,1639.99
210,1000,Landry Group,Textile,Plastic,3909.74,5568.25,8725219.07,1531.42
211,1005,Nelson-Marquez,Food Processing,Cotton,3554.63,5933.66,21601290.07,411.86
212,1000,Kidd LLC,Pharmaceuticals,Plastic,1000.33,1510.78,2368487.63,308.18
213,1008,Alexander LLC,Chemicals,Steel,3244.98,8197.34,6126298.08,627.91
214,1006,"Bradley, Porter and Gomez",Food Processing,Timber,2281.51,3318.73,12890352.75,310.18
215,1010,Tucker Group,Food Processing,Petroleum Products,3300.24,5614.42,23500355.94,1580.68
216,1000,Castro-Cross,Automobile Parts,Glass,3090.06,2591.6,6728992.44,1384.67
217,1000,Dawson-Cross,Food Processing,Steel,76.96,155.75,266168.63,37.86
218,1007,Navarro-Villegas,Electronics,Steel,1143.2,3368.22,7487064.09,380.92
219,1010,"Love, Mendoza and Phillips",Textile,Steel,458.88,297.79,3821476.72,185.92
220,1008,Baker LLC,Chemicals,Plastic,1948.63,2203.55,8274942.37,380.32
221,1005,"Clements, Thomas and Barajas",Electronics,Wheat,1164.77,2497.97,8330208.74,118.94
222,1010,"Mueller, Burgess and Lewis",Automobile Parts,Timber,2792.69,2165.97,11771176.55,751.96
223,1005,"Merritt, Miller and Robles",Chemicals,Cotton,577.35,292.94,4469945.87,122.56
224,1008,Jackson-Love,Chemicals,Petroleum Products,2688.41,4509.96,9082955.65,691.81
225,1000,Shepard Ltd,Food Processing,Cotton,4324.06,12408.32,38581671.86,671.49
226,1010,Hernandez Inc,Furniture,Petroleum Products,4500.89,4536.26,12454069.19,828.99
227,1003,May-Jones,Textile,Glass,1444.79,1064.14,12710256.31,268.35
228,1002,Fisher LLC,Textile,Timber,4652.54,6031.98,31170605.19,2059.78
229,1008,Stewart-Church,Food Processing,Petroleum Products,849.99,2473.72,4480900.16,424.56
230,1006,Smith Ltd,Automobile Parts,Petroleum Products,179.19,508.62,493322.65,21.06
231,1001,Mckinney-Williams,Furniture,Plastic,1014.53,1489.55,7436275.24,148.47
232,1003,Garza-Lowe,Pharmaceuticals,Steel,1204.24,1086.11,4884036.69,456.24
233,1010,Reese Inc,Pharmaceuticals,Petroleum Products,4528.64,8903.72,34497329.3,563.15
234,1010,Saunders-Kelly,Pharmaceuticals,Wheat,4334.41,7885.24,16069981.83,1968.9
235,1010,Cook-Bishop,Pharmaceuticals,Timber,3139.13,8687.76,12965191.33,860.93
236,1003,Solis and Sons,Food Processing,Cotton,153.69,332.23,866228.42,15.57
237,1004,Powell Inc,Pharmaceuticals,Steel,1454.51,1716.67,11193637.92,338.28
238,1008,Sanchez-Murray,Chemicals,Petroleum Products,2139.18,6332.92,3824604.99,706.91
239,1009,Murphy-Jensen,Automobile Parts,Glass,2813.1,3974.39,7540027.01,1316.69
240,1008,Bennett-Jacobs,Pharmaceuticals,Steel,330.71,385.92,505310.42,127.47
241,1001,Robinson Inc,Furniture,Plastic,3669.45,8802.11,33606810.59,857.69
242,1008,Hawkins-Everett,Food Processing,Wheat,1869.52,3266.9,17257463.09,609.72
243,1009,Smith Inc,Chemicals,Plastic,3804.46,8969.87,8652406.97,1563.76
244,1001,"Cook, Hodge and Rivera",Textile,Wheat,444.4,339.56,1669220.74,151.52
245,1007,"Warren, Estrada and Warren",Furniture,Cotton,4091.29,7789.01,21219881.32,553.35
246,1000,Farmer-Kline,Electronics,Steel,3174.94,6225.14,28299844.27,1217.25
247,1001,"Hebert, Reynolds and Grant",Automobile Parts,Glass,3380.76,3286.55,7556330.7,1475.22
248,1007,Hayden-Butler,Food Processing,Timber,4751.21,6974.95,18112624.88,1193.84
249,1006,Martin-Hancock,Automobile Parts,Cotton,1387.03,1086.27,6147447.42,407.69
250,1001,"Sellers, Stanton and Christian",Pharmaceuticals,Petroleum Products,2896.41,4857.4,7453011.84,428.93
251,1003,"Larson, Macias and Krause",Automobile Parts,Aluminum,4510.58,7693.82,9651013.49,700.01
252,1009,Reynolds PLC,Textile,Timber,2885.01,2092.96,20526127.82,440.96
253,1007,Smith Inc,Textile,Aluminum,3988.95,5827.61,34833090.58,693.05
254,1007,Jones and Sons,Pharmaceuticals,Aluminum,3991.23,5191.79,13628800.67,724.15
255,1007,"Mullen, Brown and Miller",Furniture,Steel,1869.8,2386.94,11162237.5,850.89
256,1001,Carter Ltd,Pharmaceuticals,Petroleum Products,3231.39,1951.55,28425792.82,600.58
257,1004,"Padilla, Bryant and Stone",Food Processing,Steel,2224.82,4558.68,5192957.55,1064.74
258,1000,Rogers and Sons,Electronics,Wheat,1299.99,1215.54,11320099.15,248.57
259,1007,Harris and Sons,Pharmaceuticals,Cotton,244.12,132.69,428240.46,108.76
260,1006,Anderson Group,Textile,Glass,1778.82,4561.79,13300450.5,820.87
261,1006,"Watkins, Martinez and Robbins",Pharmaceuticals,Plastic,2125.91,5972.05,17577841.16,401.52
262,1005,Carter Group,Chemicals,Cotton,3507.54,7985.08,19107917.42,666.38
263,1010,Lee-Huffman,Automobile Parts,Glass,3393.37,5015.75,26589992.22,1040.45
264,1006,"Reynolds, Hughes and Chavez",Electronics,Aluminum,2461.49,1611.83,7740200.24,429.07
265,1002,Rogers-Smith,Food Processing,Glass,2650.83,1926.66,4118621.98,313.8
266,1010,"Lawrence, Nunez and Flowers",Automobile Parts,Steel,2195.79,4125.98,20545409.85,860.39
267,1007,"Hull, Taylor and Ramirez",Food Processing,Aluminum,4842.68,11423.19,39556186.94,2077.06
268,1002,Duncan Ltd,Food Processing,Wheat,1709.0,2263.69,5755591.46,530.04
269,1007,Huff LLC,Pharmaceuticals,Glass,3463.72,4342.4,12525977.4,425.59
270,1010,Matthews Inc,Electronics,Aluminum,3764.47,2986.05,25121627.15,533.3
271,1006,Guzman LLC,Food Processing,Aluminum,2288.42,4171.74,17309978.71,932.89
272,1010,"Moore, Lane and Miller",Textile,Glass,377.66,785.73,3168713.16,157.14
273,1007,Burnett Ltd,Textile,Steel,467.49,499.61,564900.56,131.74
274,1003,"Bryant, Rivera and Mullen",Pharmaceuticals,Steel,3000.9,3742.18,28442950.82,615.55
275,1008,"Simon, Harris and Sandoval",Electronics,Plastic,3502.26,6713.05,29705194.39,1391.44
276,1007,"Bell, Miller and Alvarado",Furniture,Glass,2992.26,7117.37,13153267.53,1040.35
277,1005,Porter PLC,Automobile Parts,Aluminum,1910.24,5623.02,9164181.0,431.48
278,1002,Brennan-Robinson,Pharmaceuticals,Aluminum,2895.23,6739.17,20913061.3,432.54
279,1002,Jackson-Olsen,Automobile Parts,Wheat,2282.58,2097.55,8923851.34,423.42
280,1001,Arroyo-Welch,Chemicals,Wheat,2209.75,4771.36,15103367.86,318.58
281,1005,"Harrison, Dominguez and Lyons",Food Processing,Plastic,3720.19,6745.85,16259635.96,1519.23
282,1004,"Rivera, Rodriguez and Smith",Automobile Parts,Timber,4156.97,8938.22,17012849.67,1270.26
283,1009,"Butler, Page and Smith",Automobile Parts,Petroleum Products,4288.41,7820.18,7205411.44,608.51
284,1010,Gonzalez LLC,Chemicals,Cotton,4620.03,9812.04,21577852.09,1746.1
285,1004,Clarke-Hurst,Pharmaceuticals,Petroleum Products,4604.13,7836.47,23308173.84,1910.63
286,1000,"Berry, Logan and Wilson",Food Processing,Petroleum Products,1551.69,2782.99,8206157.69,438.13
287,1000,"Patton, Mccoy and Blackburn",Furniture,Glass,4023.23,9581.29,25743157.58,668.3
288,1008,Jenkins-Moss,Textile,Wheat,2496.44,5400.33,5093084.48,838.24
289,1005,"Duncan, Curtis and Williams",Chemicals,Glass,1561.87,2076.35,13028316.53,413.6
290,1000,Williams-Lee,Food Processing,Cotton,2263.42,3114.16,8145437.2,655.79
